SensorDate,Settlement,Main_Dmg,geometry
2023-09-10,Ait Othmane,Damage,POINT (-8.385935225999958 31.160787043000084)
2023-09-10,Ait Othmane,Damage,POINT (-8.385897944999954 31.16089888500005)
2023-09-10,Ait Othmane,Damage,POINT (-8.385833325999954 31.160975932000042)
2023-09-10,Ait Othmane,Damage,POINT (-8.385736395999913 31.160926224000036)
2023-09-10,Ait Othmane,Damage,POINT (-8.385545021999917 31.160918768000045)
2023-09-10,Ait Othmane,Damage,POINT (-8.385415782999928 31.160926224000036)
2023-09-10,Ait Othmane,Damage,POINT (-8.38520701099992 31.160953564000067)
2023-09-10,Ait Othmane,Damage,POINT (-8.385241805999954 31.160849178000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.385425723999958 31.160811897000087)
2023-09-10,Ait Othmane,Damage,POINT (-8.386367681999957 31.160431635000066)
2023-09-10,Ait Othmane,Damage,POINT (-8.385967535999953 31.160478857000044)
2023-09-10,Ait Othmane,Damage,POINT (-8.385935225999958 31.160660289000077)
2023-09-10,Ait Othmane,Damage,POINT (-8.385768705999908 31.16037447100007)
2023-09-10,Ait Othmane,Damage,POINT (-8.385090197999943 31.161468036000088)
2023-09-10,Ait Othmane,Damage,POINT (-8.384906279999939 31.161403417000088)
2023-09-10,Ait Othmane,Damage,POINT (-8.384896338999908 31.161239382000076)
2023-09-10,Ait Othmane,Damage,POINT (-8.384841660999939 31.160931195000046)
2023-09-10,Ait Othmane,Damage,POINT (-8.384677625999927 31.16081686800004)
2023-09-10,Ait Othmane,Damage,POINT (-8.384871484999906 31.160801956000057)
2023-09-10,Ait Othmane,Damage,POINT (-8.385035519999917 31.160705026000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.38492864899996 31.16053353500007)
2023-09-10,Ait Othmane,Damage,POINT (-8.384732303999954 31.160439091000057)
2023-09-10,Ait Othmane,Damage,POINT (-8.384603063999919 31.162101807000056)
2023-09-10,Ait Othmane,Damage,POINT (-8.38482674799991 31.161972568000067)
2023-09-10,Ait Othmane,Damage,POINT (-8.384598093999955 31.161577393000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.38491373699992 31.161604732000058)
2023-09-10,Ait Othmane,Damage,POINT (-8.384883911999907 31.161651954000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.384834203999958 31.16170166200004)
2023-09-10,Ait Othmane,Damage,POINT (-8.38470744999995 31.161428270000044)
2023-09-10,Ait Othmane,Damage,POINT (-8.384670169999936 31.161530171000038)
2023-09-10,Ait Othmane,Damage,POINT (-8.384757157999957 31.16162958600006)
2023-09-10,Ait Othmane,Damage,POINT (-8.384816806999936 31.161142452000036)
2023-09-10,Ait Othmane,Damage,POINT (-8.38513990599995 31.161090259000048)
2023-09-10,Ait Othmane,Damage,POINT (-8.38638259399994 31.161721545000034)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.386432300999957 31.161825931000067)
2023-09-10,Ait Othmane,Damage,POINT (-8.385756278999906 31.161144938000064)
2023-09-10,Ait Othmane,Damage,POINT (-8.386186248999934 31.160222863000058)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.386081862999959 31.160118477000083)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.384732303999954 31.160071255000048)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.384799408999925 31.160026518000052)
2023-09-10,Ait Othmane,Damage,POINT (-8.386136541999917 31.161092745000076)
2023-09-10,Ait Othmane,Damage,POINT (-8.386255839999933 31.161204587000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.386101745999952 31.161169791000077)
2023-09-10,Ait Othmane,Damage,POINT (-8.38608434899993 31.16132885500008)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.386482629999932 31.16216735900008)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.386181277999924 31.16184829900004)
2023-09-10,Ait Othmane,Damage,POINT (-8.385604670999953 31.161972568000067)
2023-09-10,Ait Othmane,Damage,POINT (-8.385686688999954 31.161890550000066)
